┌────────────┬──────────┬──────────┬───────────────────────┬──────────────────────┬──────────┬──────────┬──────────────────────┬─────────────────────┐
│    date    │ min_prcp │ max_prcp │       avg_prcp        │       sum_prcp       │ min_snow │ max_snow │       avg_snow       │      sum_snow       │
│    date    │  double  │  double  │        double         │        double        │  double  │  double  │        double        │       double        │
├────────────┼──────────┼──────────┼───────────────────────┼──────────────────────┼──────────┼──────────┼──────────────────────┼─────────────────────┤
│ 2013-11-10 │      0.0 │     0.13 │  0.022857142857142857 │                 0.16 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-11 │      0.0 │     0.03 │  0.004285714285714286 │                 0.03 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-12 │      0.0 │     0.03 │  0.004285714285714286 │                 0.03 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-13 │      0.0 │     0.05 │  0.011428571428571429 │                 0.08 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-14 │      0.0 │     0.05 │  0.015714285714285715 │                 0.11 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-15 │      0.0 │     0.22 │  0.047142857142857146 │                 0.33 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-16 │      0.0 │     0.22 │   0.04285714285714286 │                  0.3 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-17 │      0.0 │     0.22 │   0.04285714285714286 │                  0.3 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-18 │      0.0 │     0.22 │   0.04285714285714286 │                  0.3 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-19 │      0.0 │     0.22 │   0.05285714285714286 │                 0.37 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-20 │      0.0 │     0.22 │  0.045714285714285714 │                 0.32 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-21 │      0.0 │     0.22 │   0.04142857142857143 │  0.29000000000000004 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-22 │      0.0 │     0.07 │                  0.01 │                 0.07 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-23 │      0.0 │     0.51 │   0.08285714285714287 │   0.5800000000000001 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-24 │      0.0 │     1.98 │    0.3657142857142857 │                 2.56 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-25 │      0.0 │     1.98 │    0.3657142857142857 │                 2.56 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-26 │      0.0 │     1.98 │   0.35571428571428576 │                 2.49 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-27 │      0.0 │     1.98 │   0.35571428571428576 │                 2.49 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-28 │      0.0 │     1.98 │   0.35571428571428576 │                 2.49 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-29 │      0.0 │     1.98 │   0.35571428571428576 │                 2.49 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-11-30 │      0.0 │     1.98 │   0.28285714285714286 │                 1.98 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-12-01 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-12-02 │      0.0 │     0.01 │ 0.0014285714285714286 │                 0.01 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-12-03 │      0.0 │     0.73 │   0.10571428571428572 │                 0.74 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-12-04 │      0.0 │     0.73 │   0.12571428571428572 │                 0.88 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-12-05 │      0.0 │     0.73 │   0.13714285714285715 │                 0.96 │      0.0 │      0.7 │  0.09999999999999999 │                 0.7 │
│ 2013-12-06 │      0.0 │     0.73 │                  0.18 │                 1.26 │      0.0 │      0.7 │  0.09999999999999999 │                 0.7 │
│ 2013-12-07 │      0.0 │     0.73 │   0.21285714285714286 │                 1.49 │      0.0 │      1.4 │  0.29999999999999993 │  2.0999999999999996 │
│ 2013-12-08 │      0.0 │     0.73 │   0.21285714285714286 │                 1.49 │      0.0 │      1.4 │  0.29999999999999993 │  2.0999999999999996 │
│ 2013-12-09 │      0.0 │     0.73 │   0.21142857142857144 │                 1.48 │      0.0 │      1.4 │  0.29999999999999993 │  2.0999999999999996 │
│ 2013-12-10 │      0.0 │      0.3 │   0.10714285714285714 │                 0.75 │      0.0 │      1.4 │  0.29999999999999993 │  2.0999999999999996 │
│ 2013-12-11 │      0.0 │     0.73 │   0.19142857142857142 │   1.3399999999999999 │      0.0 │      5.0 │   1.0142857142857142 │                 7.1 │
│ 2013-12-12 │      0.0 │     0.73 │   0.28285714285714286 │                 1.98 │      0.0 │      5.0 │   0.9142857142857144 │                 6.4 │
│ 2013-12-13 │      0.0 │     0.73 │                  0.24 │                 1.68 │      0.0 │      5.0 │   0.9142857142857144 │                 6.4 │
│ 2013-12-14 │      0.0 │     0.73 │   0.23428571428571426 │                 1.64 │      0.0 │      5.0 │   0.9285714285714286 │                 6.5 │
│ 2013-12-15 │      0.0 │     0.73 │   0.23428571428571426 │                 1.64 │      0.0 │      5.0 │   0.9285714285714286 │                 6.5 │
│ 2013-12-16 │      0.0 │     0.73 │   0.23428571428571426 │                 1.64 │      0.0 │      5.0 │   0.9285714285714286 │                 6.5 │
│ 2013-12-17 │      0.0 │     0.73 │   0.23428571428571426 │                 1.64 │      0.0 │      5.0 │   0.9285714285714286 │                 6.5 │
│ 2013-12-18 │      0.0 │     0.72 │   0.13142857142857142 │   0.9199999999999999 │      0.0 │      1.5 │  0.21428571428571427 │                 1.5 │
│ 2013-12-19 │      0.0 │     0.19 │  0.028571428571428574 │                  0.2 │      0.0 │      1.5 │  0.21428571428571427 │                 1.5 │
│ 2013-12-20 │      0.0 │     0.51 │   0.10142857142857142 │                 0.71 │      0.0 │      1.5 │  0.21428571428571427 │                 1.5 │
│ 2013-12-21 │      0.0 │     0.51 │   0.07428571428571429 │                 0.52 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-12-22 │      0.0 │     0.51 │   0.07428571428571429 │                 0.52 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-12-23 │      0.0 │     0.51 │   0.07428571428571429 │                 0.52 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-12-24 │      0.0 │     0.51 │   0.07428571428571429 │                 0.52 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-12-25 │      0.0 │     0.51 │   0.07285714285714286 │                 0.51 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-12-26 │      0.0 │      1.2 │   0.24428571428571427 │                 1.71 │      0.0 │      0.0 │                  0.0 │                 0.0 │
