┌────────────┬───────────────────────┐
│    date    │  moving_7d_avg_prcp   │
│    date    │        double         │
├────────────┼───────────────────────┤
│ 2013-07-01 │                       │
│ 2014-10-21 │   0.31857142857142856 │
│ 2014-10-22 │   0.31999999999999995 │
│ 2014-10-23 │   0.31999999999999995 │
│ 2014-10-24 │   0.31999999999999995 │
│ 2014-10-25 │   0.30428571428571427 │
│ 2014-10-26 │   0.08857142857142856 │
│ 2014-10-27 │ 0.0014285714285714286 │
│ 2014-10-28 │  0.008571428571428572 │
│ 2014-10-29 │   0.05714285714285714 │
│ 2014-10-30 │   0.05714285714285714 │
│ 2014-10-31 │   0.05714285714285714 │
│ 2014-11-01 │   0.05714285714285714 │
│ 2014-11-02 │   0.05714285714285714 │
│ 2014-11-03 │                  0.11 │
│ 2014-11-04 │   0.10285714285714286 │
│ 2014-11-05 │   0.05285714285714286 │
│ 2014-11-06 │   0.05285714285714286 │
│ 2014-11-07 │   0.05285714285714286 │
│ 2014-11-08 │   0.05285714285714286 │
│ 2014-11-09 │   0.05285714285714286 │
│ 2014-11-10 │  0.028571428571428574 │
│ 2014-11-11 │  0.037142857142857144 │
│ 2014-11-12 │  0.037142857142857144 │
│ 2014-11-13 │   0.04142857142857143 │
│ 2014-11-14 │   0.26142857142857145 │
│ 2014-11-15 │   0.26142857142857145 │
│ 2014-11-16 │   0.26142857142857145 │
│ 2014-11-17 │   0.23285714285714287 │
│ 2014-11-18 │   0.22428571428571428 │
│ 2014-11-19 │   0.22428571428571428 │
│ 2014-11-20 │                  0.22 │
│ 2014-11-21 │   0.09999999999999999 │
│ 2014-11-22 │   0.09999999999999999 │
│ 2014-11-23 │   0.27714285714285714 │
│ 2014-11-24 │   0.27999999999999997 │
│ 2014-11-25 │   0.27999999999999997 │
│ 2014-11-26 │   0.27999999999999997 │
│ 2014-11-27 │   0.27999999999999997 │
│ 2014-11-28 │   0.19285714285714287 │
│ 2014-11-29 │   0.20428571428571432 │
│ 2014-11-30 │   0.03571428571428571 │
│ 2014-12-01 │  0.032857142857142856 │
